Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Praga-Południe, Celownicza",699000,47.6,2,pierwotny,2022,"system alarmowy, monitoring / ochrona",balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Bielany, Wojciecha Bogusławskiego",615000,65,3,wtórny,1978,"piwnica, oddzielna kuchnia, pom. użytkowe",balkon,9/9,
"Warszawa, Wola, Okopowa",645000,48,3,wtórny,65,tak,balkon,3/11,
"Warszawa, Śródmieście, Dzika",1122000,72,3,wtórny,1998,monitoring / ochrona,balkon,6/6,
"Warszawa, Śródmieście, Chmielna",999000,36.56,2,wtórny,1900,tak,,parter/5,garaż/miejsce parkingowe
"Warszawa, Śródmieście",2625000,138.08,4,wtórny,1930,"system alarmowy, monitoring / ochrona",,6/7,
"Warszawa, Ursynów, Puławska",284900,17,1,pierwotny,2022,tak,"balkon, ogródek, taras",4/4,garaż/miejsce parkingowe
"Warszawa, Ursynów, Puławska",498999,32,2,pierwotny,2022,tak,"balkon, ogródek, taras",4/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, Tarchomin, Milenijna 51",695000,67,3,wtórny,2010,tak,taras,1/6,garaż/miejsce parkingowe
"Warszawa, Wilanów, al. Aleja Rzeczypospolitej",840360,56.4,2,wtórny,2009,tak,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Leona Berensona 55",485000,38.54,2,wtórny,2013,tak,"ogródek, taras",parter/3,garaż/miejsce parkingowe
"Warszawa, Włochy, Okęcie, Aleje Jerozolimskie",402000,33,1,pierwotny,2017,tak,"balkon, ogródek, taras",2/4,garaż/miejsce parkingowe
"Warszawa, Włochy, Okęcie, Aleje Jerozolimskie",345000,27,1,pierwotny,2017,tak,"balkon, ogródek, taras",3/4,garaż/miejsce parkingowe
"Warszawa, Śródmieście",3330000,175.1,5,wtórny,1930,"system alarmowy, monitoring / ochrona",,6/7,
"Warszawa, Ochota, Racławicka",519000,46.1,2,wtórny,blok,"piwnica, oddzielna kuchnia, pom. użytkowe",,8/10,
"Warszawa, Białołęka",850000,88.7,4,wtórny,2008,meble,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Ursynów, Kabaty, Stryjeńskich",530000,30.81,1,wtórny,2022-07-31,plastikowe,,5/5,
"Warszawa, Ursynów, Kabaty, Aleja Komisji Edukacji Narodowej",530000,29.13,1,wtórny,2004,"domofon / wideofon, monitoring / ochrona",balkon,7/7,
"Warszawa, Wilanów, Syta",1800000,149.2,5,wtórny,2003,internet,,1/2,
"Warszawa, Białołęka, Skarbka z Gór",475000,53.7,2,wtórny,2002,"telewizja kablowa, internet",,2/3,garaż/miejsce parkingowe
"Warszawa, Mokotów, Dolny Mokotów, Jurija Gagarina",2115650,111.35,3,wtórny,2009,tak,balkon,8/9,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Egipska",1170000,88.3,3,wtórny,2000,system alarmowy,,parter/7,garaż/miejsce parkingowe
"Warszawa, Mokotów, Stegny, Pory",1065000,88.5,3,wtórny,2008,tak,balkon,6/6,garaż/miejsce parkingowe
"Warszawa, Targówek, Bródno, Błotna",1140000,121.2,7,wtórny,1999,nie,,2/3,garaż/miejsce parkingowe
"Warszawa, Wola, Łucka",1530000,104.8,3,wtórny,2006,monitoring / ochrona,balkon,4/10,garaż/miejsce parkingowe
"Warszawa, Mokotów, Sadyba, Śródziemnomorska",2900000,281.3,6,wtórny,1992,tak,taras,5/6,garaż/miejsce parkingowe
"Warszawa, Mokotów, Ksawerów, Władysława Orkana",1960000,129.76,4,wtórny,2002,tak,balkon,3/9,
"Warszawa, Praga-Południe, Grochów, Kobielska",836000,83.7,3,wtórny,1992,system alarmowy,balkon,1/3,
"Warszawa, Praga-Południe, Grochów, Kobielska",836000,83.7,3,wtórny,1992,"telewizja kablowa, internet, telefon",balkon,2/3,
"Warszawa, Targówek, Uznamska",870000,94.2,3,wtórny,2000,"telewizja kablowa, internet, telefon",,parter/3,garaż/miejsce parkingowe
"Warszawa, Ursus, Aleje Jerozolimskie",728670,66.55,4,pierwotny,2022,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Stanisława Noakowskiego",1225000,59.9,3,wtórny,1950,oddzielna kuchnia,balkon,1/9,
"Warszawa, Praga-Południe, ul. Witolińska",555000,60,3,pierwotny,tak,"piwnica, oddzielna kuchnia",balkon,,
"Warszawa, Praga-Południe, ul. Międzynarodowa 54",555000,45,3,wtórny,1970,nie,balkon,1/10,
"Warszawa, Białołęka, Głębocka",517830,56,3,pierwotny,2022,nie,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Białołęka, Głębocka",510630,52,3,pierwotny,2022,nie,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Białołęka, Głębocka",503780,57,3,pierwotny,2022,nie,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Białołęka, Głębocka",509200,52.5,3,pierwotny,2022,nie,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Białołęka, Aluzyjna",368000,31,1,wtórny,2007,monitoring / ochrona,,4/7,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Dzieci Warszawy",650000,64,4,pierwotny,2022,tak,balkon,,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Dzieci Warszawy",486000,47,2,pierwotny,2022,tak,balkon,,garaż/miejsce parkingowe
"Warszawa, Białołęka, Tarchomin, Żeglugi Wiślanej",378000,37,2,wtórny,2009,nie,balkon,2/3,
"Warszawa, Targówek, Bródno, Ludwika Kondratowicza",590000,65.7,3,wtórny,2022-02-09,tak,balkon,3/17,garaż/miejsce parkingowe
"Warszawa, Mokotów, Białej Floty",1589000,94,4,wtórny,2022-05-06,tak,"balkon, taras",1/6,garaż/miejsce parkingowe
"Warszawa, Wawer",1450000,122,5,wtórny,2019,nie,ogródek,parter/2,garaż/miejsce parkingowe
"Warszawa, Targówek, Ludwika Kondratowicza",397600,38,2,wtórny,1970,monitoring / ochrona,,parter/4,
"Warszawa, Praga-Południe, ul. Perkuna",1050000,110,4,wtórny,1990,"telewizja kablowa, internet, telefon",balkon,1/4,
"Warszawa, Mokotów, ul. Kazimierzowska",1040000,56,2,wtórny,1952,nie,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Ursynów",829900,59,3,wtórny,2013,tak,balkon,1/10,
"Warszawa, Targówek, Krośniewicka 5",719820,53.32,2,pierwotny,2023,"telewizja kablowa, internet, telefon",balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Wola, Mirów, A. Solidarności",599000,48,3,wtórny,1967,tak,balkon,8/10,
"Warszawa, Praga-Południe",395997,23.5,1,wtórny,2022-06-10,plastikowe,,3/4,
"Warszawa, Praga-Południe",645000,54.5,4,wtórny,2022-07-10,plastikowe,balkon,3/4,
"Warszawa, Ochota, Stara Ochota",710000,57,2,wtórny,1953,tak,,1/7,
"Warszawa, Targówek, Targówek Mieszkaniowy, Kuflewska",655385,47.15,3,pierwotny,2022,domofon / wideofon,balkon,1/4,
"Warszawa, Mokotów, Jana Pawła Woronicza",1500000,101.9,4,wtórny,2005,tak,balkon,5/11,garaż/miejsce parkingowe
"Warszawa, Wola, Płocka",749000,52.42,3,wtórny,1965,nie,balkon,1/3,
"Warszawa, Śródmieście, Śródmieście Północne, Mikołaja Kopernika",2660000,139,4,wtórny,1900,domofon / wideofon,,4/4,
"Warszawa, Białołęka, Grodzisk, Leona Berensona",499000,40.2,2,wtórny,2022-06-30,tak,ogródek,parter/2,garaż/miejsce parkingowe
"Warszawa, Wola, Odolany, Marcina Kasprzaka",440000,28,1,wtórny,2022,,balkon,2/7,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Śródmieście Północne, Śliska",490000,26.05,1,wtórny,2022-06-04,tak,,8/13,
"Warszawa, Praga-Południe, Grochów, ul. Budrysów",460000,38,2,wtórny,1951,nie,balkon,3/4,
"Warszawa, Mokotów, Mariana Zdziechowskiego",570000,30,1,wtórny,2021,monitoring / ochrona,,1/6,garaż/miejsce parkingowe
"Warszawa, Mokotów, Czerniakowska 26",600000,50,3,wtórny,1971,piwnica,balkon,6/10,garaż/miejsce parkingowe
"Warszawa, Ochota, Stara Ochota",490000,37,2,wtórny,1975,nie,,4/14,
"Warszawa, Praga-Południe, Saska Kępa",484900,39.4,2,wtórny,2022-07-04,plastikowe,balkon,3/3,
"Warszawa, Białołęka, Nowodwory, Mieszkania w stanie deweloperskim. Duży balkon. Aneks z oknem. Ciche.",567000,52.1,3,pierwotny,2022,tak,balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Włochy, Salomea, Jutrzenki",480000,39,2,pierwotny,2022-12-01,plastikowe,"balkon, taras",3/6,garaż/miejsce parkingowe
"Warszawa, Bemowo",515000,38,2,wtórny,2004,nie,balkon,parter/3,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Chrzanowskiego 7",395000,35,1,wtórny,1950,nie,,3/4,
"Warszawa, Żoliborz, ul. Kaliny Jędrusik",1800000,83,4,wtórny,2017,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",balkon,4/4,
"Warszawa, Wola, Płocka",855000,58.6,2,wtórny,1998,"telewizja kablowa, internet",balkon,9/9,garaż/miejsce parkingowe
"Warszawa, Ursus, Skorosze, Skoroszewska",659895,55.5,2,wtórny,2003,tak,balkon,4/7,garaż/miejsce parkingowe
"Warszawa, Żoliborz, Sady Żoliborskie, Władysława Broniewskiego",309000,19.9,1,wtórny,2022-06-30,nie,,5/10,
"Warszawa, mazowieckie",539000,44,2,wtórny,2022-06-09,nie,,10/10,
"Warszawa, Żoliborz, Zygmunta Hübnera",1185000,65.44,3,wtórny,2021,tak,balkon,1/7,garaż/miejsce parkingowe
"Warszawa, Śródmieście",585000,46,3,wtórny,2022-05-11,plastikowe,balkon,6/10,
"Warszawa, Ursus, Herbu Oksza",510000,32.91,2,wtórny,2021,,,5/6,garaż/miejsce parkingowe
"Warszawa, Bielany",455000,37.7,2,wtórny,1973,,,parter/4,
"Warszawa, Żoliborz, ks. Teofila Boguckiego",560000,35,2,wtórny,1931,nie,balkon,2/4,
"Warszawa, Ochota, Rakowiec, Grójecka",954045,66.6,3,wtórny,2022-07-08,tak,balkon,5/8,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Grenadierów",565000,50,3,wtórny,1990,"telewizja kablowa, internet",,2/4,
"Warszawa, Włochy, ul. Przedpole",1250000,94,5,wtórny,2022-07-01,plastikowe,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Saska Kępa, Zwycięzców",709000,48.8,3,wtórny,2022-07-15,plastikowe,balkon,7/10,
"Warszawa, Śródmieście",414000,26.4,1,wtórny,1972,nie,,4/9,
"Warszawa, Targówek, Zacisze, Łodygowa 11",1000000,81,4,wtórny,2017,tak,taras,2/3,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Powiśle",558000,36,2,wtórny,blok,"drzwi / okna antywłamaniowe, domofon / wideofon",balkon,2/4,
"Warszawa, Targówek, Targówek Mieszkaniowy",730000,62.5,3,wtórny,plastikowe,"teren zamknięty, domofon / wideofon, monitoring / ochrona",balkon,1/4,
"Warszawa, Ursus, ul. Przy Forcie",1068000,84.5,4,pierwotny,2022,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",balkon,1/6,garaż/miejsce parkingowe
"Warszawa, Ochota, Elizy Orzeszkowej",620000,50.1,2,wtórny,blok,cegła,balkon,parter/3,
"Warszawa, Praga-Południe, Gocław, Jana Nowaka-Jeziorańskiego",790000,53.9,2,wtórny,2015,tak,balkon,4/9,garaż/miejsce parkingowe
"Warszawa, Mokotów, Górny Mokotów, ul. Obrzeżna",899000,59,3,wtórny,apartamentowiec,"telewizja kablowa, internet",balkon,parter/8,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Powiśle",445000,27,1,wtórny,1968,nie,balkon,2/4,
"Warszawa, Ochota, Stara Ochota",620000,44.84,3,wtórny,kamienica,,balkon,1/3,
"Warszawa, Śródmieście",890000,55,2,wtórny,kamienica,,,1/1,
"Warszawa, Wola, Jana Kazimierza",1175000,70,4,wtórny,2017,tak,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Motorowa",450000,42.1,2,wtórny,2022-06-10,plastikowe,balkon,parter/10,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Herbu Oksza 21",480000,40.74,2,pierwotny,2022,tak,balkon,5/7,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Budki Szczęśliwickie 25",625000,42.53,2,wtórny,2021,tak,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Ursynów, Stokłosy, Zamiany",655000,72,4,wtórny,2022-06-20,nie,balkon,4/4,
"Warszawa, Praga-Południe, ul. Jana Nowaka-Jeziorańskiego",1459000,99,4,wtórny,2010,tak,balkon,1/8,garaż/miejsce parkingowe
"Warszawa, Targówek",449000,42,2,wtórny,1960,nie,,2/4,
"Warszawa, Włochy, Stare Włochy, ul. Ryżowa",630000,48,2,wtórny,2014,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",balkon,1/1,
"Warszawa, Praga-Południe, ul. Jana Nowaka-Jeziorańskiego",921000,67.3,3,wtórny,2016,tak,balkon,&gt; 10/14,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Jana Kazimierza",1175000,70,4,wtórny,2017,nie,taras,2/5,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Sulejkowska",459000,38.38,2,wtórny,2003,tak,balkon,2/11,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, ul. Zwycięzców",725000,49,3,wtórny,1968,"telewizja kablowa, internet, telefon",balkon,7/10,garaż/miejsce parkingowe
"ul. Wyspiarska, Warszawa, mazowieckie",,80.56,4,,,,,5/5,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Karabeli",590000,45.8,2,wtórny,1980,tak,balkon,5/8,
"Warszawa, Praga-Południe, ul. Jana Nowaka-Jeziorańskiego",921000,67.3,3,wtórny,2016,tak,"balkon, taras",&gt; 10/14,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Olszynka Grochowska, Szaserów",822000,60.1,3,wtórny,2014,teren zamknięty,"balkon, ogródek",2/4,garaż/miejsce parkingowe
"Warszawa, Ochota, ul. Włodarzewska",1200000,68,3,wtórny,2009,tak,"balkon, taras",1/8,garaż/miejsce parkingowe
"ul. Wyspiarska, Warszawa, mazowieckie",,59.65,3,,,,,1/5,garaż/miejsce parkingowe
"Warszawa, Mokotów, Sadyba, ul. Św. Bonifacego 74",449997,41.3,2,wtórny,1970,nie,balkon,4/4,
"Warszawa, Wawer",67878650,75.27,4,pierwotny,2023,tak,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Wawer",65793940,72.78,4,pierwotny,2023,tak,balkon,4/5,garaż/miejsce parkingowe
"Warszawa, Wawer",65282480,72.78,4,pierwotny,2023,tak,balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Wawer",67497080,75.38,4,pierwotny,2023,tak,balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Wawer",54842670,60.39,3,pierwotny,2023,tak,balkon,parter/5,garaż/miejsce parkingowe
"Warszawa, Wawer",517829,55.14,3,pierwotny,2023,tak,balkon,parter/5,garaż/miejsce parkingowe
"Warszawa, Wawer",67386460,75.58,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",92003170,102.91,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",74162380,83.24,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",67270940,75.38,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",67351760,75.27,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Włochy, Stare Włochy, Budki Szczęśliwickiej 17",888000,74.03,4,pierwotny,2022,tak,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",650000,41,2,wtórny,2021,"teren zamknięty, domofon / wideofon",balkon,4/4,garaż/miejsce parkingowe
"Warszawa, Bielany, ul. Przy Agorze",498000,37.6,2,wtórny,1970,nie,,1/4,
"Warszawa, Wawer",69407260,78.22,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",65064140,72.78,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",67498720,75.44,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",67125760,75.02,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",64961060,72.62,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",69296630,78.11,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",67344380,75.26,4,pierwotny,2023,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wawer",698434,78.11,4,pierwotny,2023,tak,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Wawer",678712,75.26,4,pierwotny,2023,tak,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Ursynów, Pustułeczki",1390000,113.2,3,,,,,,
"Warszawa, Mokotów, ul. Zwierzyniecka",649000,35.81,2,pierwotny,2022-06-10,drewniane,balkon,7/7,garaż/miejsce parkingowe
"Warszawa, mazowieckie",739000,50.3,3,wtórny,1972,tak,balkon,9/10,
"Warszawa, Ursynów",850500,81,3,wtórny,2000,telefon,balkon,2/3,garaż/miejsce parkingowe
"ul. Wyspiarska, Warszawa, mazowieckie",,43.77,2,,,,"taras, ogródek",parter/5,garaż/miejsce parkingowe
"Warszawa, Wola, Ulrychów, Jana Olbrachta",665000,44.36,2,pierwotny,2022,"domofon / wideofon, monitoring / ochrona",balkon,2/5,
"Warszawa, Żoliborz, Władysława Broniewskiego",660000,48,3,wtórny,2022-06-30,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",balkon,6/10,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Zwierzyniecka",799000,41.34,2,pierwotny,2022-06-10,drewniane,balkon,7/7,garaż/miejsce parkingowe
"Warszawa, Wola, Muranów",535000,45.5,3,wtórny,blok,,,4,
"Warszawa, Bemowo, Karabeli",614900,61.7,3,wtórny,2022-07-01,nie,ogródek,parter/4,
"Warszawa, Śródmieście, Piękna",2200000,104,4,wtórny,2022-07-01,drewniane,balkon,2/5,
"Warszawa, Wola, Kolejowa",878000,52.86,3,pierwotny,2023,monitoring / ochrona,,2/5,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Złota",11500000,237,3,wtórny,2017,tak,,,garaż/miejsce parkingowe
"Warszawa, Mokotów, Górny Mokotów, ul. Orzycka",620000,47,3,wtórny,1966,nie,,1/4,
"Warszawa, Bemowo, ul. Obrońców Tobruku",750000,54.51,2,wtórny,2022-06-11,drewniane,balkon,3/5,
"Warszawa, Bemowo, Zenona Klemensiewicza",407000,37,2,wtórny,1979,monitoring / ochrona,balkon,9/11,garaż/miejsce parkingowe
"Warszawa, Ochota, Rakowiec, ul. Harfowa",1846602,106.74,5,pierwotny,2024,"teren zamknięty, domofon / wideofon, monitoring / ochrona",taras,3/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Odkryta 50",,52.26,3,pierwotny,2023,"telewizja kablowa, internet",balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Nakielska",,65.36,3,pierwotny,2023,domofon / wideofon,balkon,3,garaż/miejsce parkingowe
"Warszawa, Praga-Północ, ul. Kawęczyńska",,42.29,2,pierwotny,2024,,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, Górny Mokotów, Etiudy Rewolucyjnej",627000,38,2,wtórny,1965,nie,,parter/4,
"Warszawa, Wesoła",970500,69.82,3,pierwotny,2022,tak,balkon,4/7,garaż/miejsce parkingowe
"Warszawa, Targówek, Piotra Wysockiego",550000,53.4,3,wtórny,plastikowe,piwnica,balkon,4/10,
"Warszawa, Mokotów, Bluszczańska",1180000,70,3,wtórny,2022-09-01,plastikowe,"ogródek, taras",parter/3,garaż/miejsce parkingowe
"Warszawa, Targówek, Bródno",740000,63.5,3,wtórny,1992,tak,balkon,6/8,
"Warszawa, Ursynów, Aleja Komisji Edukacji Narodowej",890000,55,2,wtórny,nie,,,3/5,
"Warszawa, Mokotów",2620000,139,3,wtórny,2005,,,parter/3,
"Warszawa, Wola, al. Aleja Prymasa Tysiąclecia",1795000,89.9,4,wtórny,2022,tak,taras,&gt; 10/24,garaż/miejsce parkingowe
"Warszawa, Włochy, Stare Włochy, Al. Jerozolimskie",1812500,125,5,wtórny,2003,tak,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Ursynów, Kabaty, ul. Wąwozowa",696600,54,2,wtórny,1993,"zmywarka, meble, pralka",balkon,1/10,garaż/miejsce parkingowe
"Warszawa, Bielany",510000,37,2,wtórny,1978,tak,,9/10,
"Warszawa, Mokotów, Piaseczyńska",4800000,173.66,4,wtórny,2020,tak,"balkon, taras",5/6,garaż/miejsce parkingowe
"Warszawa, Bemowo, Chrzanów, Szeligowska",488546,36,2,pierwotny,2024,"telewizja kablowa, internet, telefon",balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Włochy, Salomea, Silnikowa",494899,40.2,2,pierwotny,2022,"telewizja kablowa, internet, telefon",balkon,3/6,garaż/miejsce parkingowe
"Warszawa, Bemowo, Szeligowska",929500,80,4,pierwotny,2024,tak,balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Włochy, Salomea, Silnikowa",469500,37.6,2,pierwotny,2022,"telewizja kablowa, internet, telefon",balkon,4/6,garaż/miejsce parkingowe
"Warszawa, Wawer, Klimontowska",415400,33.12,2,wtórny,2013,"teren zamknięty, domofon / wideofon",balkon,parter/3,
"Warszawa, Bielany",510000,48,2,wtórny,1976,oddzielna kuchnia,balkon,2/3,
"Warszawa, Wawer, Zerzeń, Wał Miedzeszyński",485000,53.8,2,wtórny,2003,nie,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Bielany",499000,48,3,wtórny,1973,oddzielna kuchnia,,2/4,
"Warszawa, Białołęka",499000,40.2,2,wtórny,2014,tak,"balkon, ogródek, taras",parter/2,garaż/miejsce parkingowe
"Warszawa, Białołęka",799000,57,3,wtórny,2009,"telewizja kablowa, internet",,2/3,
"Warszawa, Bielany",629000,57,3,wtórny,1979,tak,balkon,9/15,
"Warszawa, Białołęka",470000,45.8,2,wtórny,1991,tak,balkon,8/8,
"Warszawa, Bielany, Heroldów",447000,36,1,wtórny,2008,tak,balkon,1/4,
"Warszawa, Bielany, ul. Szegedyńska",530000,48.4,3,wtórny,blok,"telewizja kablowa, internet",balkon,2/4,
"Warszawa, Białołęka",310000,31.57,1,wtórny,2022-07-08,plastikowe,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Wesoła, ul. Stefana Żeromskiego",,69.39,3,,,,,1/5,garaż/miejsce parkingowe
"Warszawa, Śródmieście",660000,48.3,2,wtórny,1978,nie,balkon,3/4,
"Warszawa, Ursynów",550000,33,2,wtórny,2008,tak,balkon,3/8,
"Warszawa, Ursynów, al. Komisji Edukacji Narodowej",820000,63.4,3,wtórny,1987,nie,balkon,2/3,
"Warszawa, Śródmieście, ul. Marcina Kasprzaka",854430,44.98,2,pierwotny,2022-09-06,drewniane,balkon,&gt; 10/26,garaż/miejsce parkingowe
"Warszawa, Białołęka",636000,53,3,wtórny,2002,tak,balkon,4/6,garaż/miejsce parkingowe
"Warszawa, Wola, Pańska",2895000,138.91,4,wtórny,2010,,,7/8,garaż/miejsce parkingowe
